e_code,injury_desc_long,injury_desc_short
0,Civilian activity done for income or pay,Civilian activity-income
0.1,Military activity,Military activity
0.2,Volunteer activity,Volunteer activity
0.8,Other external cause status,Externl cause status NEC
0.9,Unspecified external cause status,Externl cause status NOS
1,"Activities involving walking, marching and hiking","Walking,marching,hiking"
1.1,Activities involving running,Running
2,Activities involving swimming,Swimming
2.1,Activities involving springboard and platform diving,Springboard/platfrm dive
2.2,Activities involving water polo,Water polo
2.3,Activities involving water aerobics and water exercise,Water aerobics/exercise
2.4,Activities involving underwater diving and snorkeling,Underwater dive/snorkel
2.5,"Activities involving rowing, canoeing, kayaking, rafting and tubing","Row,canoe,kayk,raft,tube"
2.6,Activities involving water skiing and wake boarding,Water ski/wake boarding
2.7,"Activities involving surfing, windsurfing and boogie boarding","Surf,windsrf,boogie brd"
2.8,Activities involving water sliding,Water sliding
2.9,Other activity involving water and watercraft,Water/watercraft
3,Activities involving ice skating,Ice Skating
3.1,Activities involving ice hockey,Ice hockey
3.2,"Activities involving snow (alpine) (downhill) skiing, snow boarding, sledding, tobogganing and snow tubing","Ski,snow brd,sled,tobagn"
3.3,Activities involving cross country skiing,Cross country skiing
3.9,Other activity involving ice and snow,Ice and snow
4,"Activities involving mountain climbing, rock climbing and wall climbing","Mountain,rock/wall climb"
4.1,Activities involving rappelling,Rappelling
4.2,Activities involving BASE jumping,BASE jumping
4.3,Activities involving bungee jumping,Bungee jumping
4.4,Activities involving hang gliding,Hang gliding
4.9,"Other activity involving climbing, rappelling and jumping off","Climb,rappell,jump off"
5,Activities involving dancing,Dancing
5.1,Activities involving yoga,Yoga
5.2,Activities involving gymnastics,Gymnastics
5.3,Activities involving trampoline,Trampoline
5.4,Activities involving cheerleading,Cheerleading
5.9,Other activity involving dancing and other rhythmic movements,"Dancing,rhythm movements"
6,Activities involving roller skating (inline) and skateboarding,"Roller skate,skateboard"
6.1,Activities involving horseback riding,Horseback riding
6.2,Activities involving golf,Golf
