PROC_CODE,ORG_PROC_CODE,LONG_DESC,SHORT_DESC
0.00,0,None,None
0.01,1,Therapeutic ultrasound of vessels of head and neck,Ther ult head & neck ves
0.02,2,Therapeutic ultrasound of heart,Ther ultrasound of heart
0.03,3,Therapeutic ultrasound of peripheral vascular vessels,Ther ult peripheral ves
0.09,9,Other therapeutic ultrasound,Other therapeutic ultsnd
0.1,10,Implantation of chemotherapeutic agent,Implant chemothera agent
0.11,11,Infusion of drotrecogin alfa (activated),Infus drotrecogin alfa
0.12,12,Administration of inhaled nitric oxide,Adm inhal nitric oxide
0.13,13,Injection or infusion of nesiritide,Inject/infus nesiritide
0.14,14,Injection or infusion of oxazolidinone class of antibiotics,Injection oxazolidinone
0.15,15,High-dose infusion interleukin-2 [IL-2],High-dose infusion IL-2
0.16,16,Pressurized treatment of venous bypass graft [conduit] with pharmaceutical substance,Pressurized treat graft
0.17,17,Infusion of vasopressor agent,Infusion of vasopressor
0.18,18,Infusion of immunosuppressive antibody therapy,Infus immunosup antibody
0.19,19,Disruption of blood brain barrier via infusion [BBBD],BBBD via infusion
0.21,21,Intravascular imaging of extracranial cerebral vessels,IVUS extracran cereb ves
0.22,22,Intravascular imaging of intrathoracic vessels,IVUS intrathoracic ves
0.23,23,Intravascular imaging of peripheral vessels,IVUS peripheral vessels
0.24,24,Intravascular imaging of coronary vessels,IVUS coronary vessels
0.25,25,Intravascular imaging of renal vessels,IVUS renal vessels
0.28,28,"Intravascular imaging, other specified vessel(s)",Intravascul imaging NEC
0.29,29,"Intravascular imaging, unspecified vessel(s)",Intravascul imaging NOS
0.31,31,Computer assisted surgery with CT/CTA,CAS w CT/CTA
0.32,32,Computer assisted surgery with MR/MRA,CAS w MR/MRA
0.33,33,Computer assisted surgery with fluoroscopy,CAS w fluoroscopy
0.34,34,Imageless computer assisted surgery,Imageless comp asst surg
0.35,35,Computer assisted surgery with multiple datasets,CAS w multiple datasets
0.39,39,Other computer assisted surgery,Other CAS
0.4,40,Procedure on single vessel,Procedure-one vessel
0.41,41,Procedure on two vessels,Procedure-two vessels
0.42,42,Procedure on three vessels,Procedure-three vessels
0.43,43,Procedure on four or more vessels,Procedure-four+ vessels
0.44,44,Procedure on vessel bifurcation,Proc-vessel bifurcation
0.45,45,Insertion of one vascular stent,Insert 1 vascular stent
0.46,46,Insertion of two vascular stents,Insert 2 vascular stents
0.47,47,Insertion of three vascular stents,Insert 3 vascular stents
0.48,48,Insertion of four or more vascular stents,Insert 4+ vasculr stents
0.49,49,Supersaturated oxygen therapy,SuperSat O2 therapy
0.5,50,"Implantation of cardiac resynchronization pacemaker without mention of defibrillation, total system [CRT-P]",Impl CRT pacemaker sys
0.51,51,"Implantation of cardiac resynchronization defibrillator, total system [CRT-D]",Impl CRT defibrillat sys
0.52,52,Implantation or replacement of transvenous lead [electrode] into left ventricular coronary venous system,Imp/rep lead lf ven sys
0.53,53,Implantation or replacement of cardiac resynchronization pacemaker pulse generator only [CRT-P],Imp/rep CRT pacemakr gen
0.54,54,Implantation or replacement of cardiac resynchronization defibrillator pulse generator only [CRT-D],Imp/rep CRT defib genat
0.55,55,Insertion of drug-eluting stent(s) of other peripheral vessel(s),Ins d-e stent oth periph
0.56,56,Insertion or replacement of implantable pressure sensor with lead for intracardiac or great vessel hemodynamic monitoring,Ins/rep sens-crd/vsl mtr
0.57,57,Implantation or replacement of subcutaneous device for intracardiac or great vessel hemodynamic monitoring,Imp/rep subcue card dev
0.58,58,Insertion of intra-aneurysm sac pressure monitoring device (intraoperative),Ins intra-ansm pres mntr
0.59,59,Intravascular pressure measurement of coronary arteries,Intravasc msmnt cor art
0.6,60,Insertion of drug-eluting stent(s) of superficial femoral artery,Ins d-e stnt sup fem art
0.61,61,Percutaneous angioplasty of extracranial vessel(s),Perc angio extracran ves
0.62,62,Percutaneous angioplasty of intracranial vessel(s),Perc angio intracran ves
0.63,63,Percutaneous insertion of carotid artery stent(s),Perc ins carotid stent
0.64,64,Percutaneous insertion of other extracranial artery stent(s),Perc ins extracran stent
0.65,65,Percutaneous insertion of intracranial vascular stent(s),Perc ins intracran stent
0.66,66,Percutaneous transluminal coronary angioplasty [PTCA],PTCA
0.67,67,Intravascular pressure measurement of intrathoracic arteries,Intravas msmnt thorc art
0.68,68,Intravascular pressure measurement of peripheral arteries,Intravas msmt periph art
0.69,69,"Intravascular pressure measurement, other specified and unspecified vessels",Intravs msmt ves NEC/NOS
0.7,70,"Revision of hip replacement, both acetabular and femoral components",Rev hip repl-acetab/fem
0.71,71,"Revision of hip replacement, acetabular component",Rev hip repl-acetab comp
0.72,72,"Revision of hip replacement, femoral component",Rev hip repl-fem comp
0.73,73,"Revision of hip replacement, acetabular liner and/or femoral head only",Rev hip repl-liner/head
0.74,74,"Hip bearing surface, metal-on-polyethylene","Hip surface, metal/poly"
0.75,75,"Hip bearing surface, metal-on-metal","Hip surface, metal/metal"
0.76,76,"Hip bearing surface, ceramic-on-ceramic","Hip surface, cermc/cermc"
0.77,77,"Hip bearing surface, ceramic-on-polyethylene","Hip surface, cermc/poly"
0.8,80,"Revision of knee replacement, total (all components)",Rev knee replacemt-total
