E_CODE,DIAGNOSIS CODE,LONG DESC,SHORT DESC
0.0,0000,Civilian activity done for income or pay,Civilian activity-income
0.1,0001,Military activity,Military activity
0.2,0002,Volunteer activity,Volunteer activity
0.8,0008,Other external cause status,Externl cause status NEC
0.9,0009,Unspecified external cause status,Externl cause status NOS
1.0,0010,"Activities involving walking, marching and hiking","Walking,marching,hiking"
1.1,0011,Activities involving running,Running
2.0,0020,Activities involving swimming,Swimming
2.1,0021,Activities involving springboard and platform diving,Springboard/platfrm dive
2.2,0022,Activities involving water polo,Water polo
2.3,0023,Activities involving water aerobics and water exercise,Water aerobics/exercise
2.4,0024,Activities involving underwater diving and snorkeling,Underwater dive/snorkel
2.5,0025,"Activities involving rowing, canoeing, kayaking, rafting and tubing","Row,canoe,kayk,raft,tube"
2.6,0026,Activities involving water skiing and wake boarding,Water ski/wake boarding
2.7,0027,"Activities involving surfing, windsurfing and boogie boarding","Surf,windsrf,boogie brd"
2.8,0028,Activities involving water sliding,Water sliding
2.9,0029,Other activity involving water and watercraft,Water/watercraft
3.0,0030,Activities involving ice skating,Ice Skating
3.1,0031,Activities involving ice hockey,Ice hockey
3.2,0032,"Activities involving snow (alpine) (downhill) skiing, snow boarding, sledding, tobogganing and snow tubing","Ski,snow brd,sled,tobagn"
3.3,0033,Activities involving cross country skiing,Cross country skiing
3.9,0039,Other activity involving ice and snow,Ice and snow
4.0,0040,"Activities involving mountain climbing, rock climbing and wall climbing","Mountain,rock/wall climb"
4.1,0041,Activities involving rappelling,Rappelling
4.2,0042,Activities involving BASE jumping,BASE jumping
4.3,0043,Activities involving bungee jumping,Bungee jumping
4.4,0044,Activities involving hang gliding,Hang gliding
4.9,0049,"Other activity involving climbing, rappelling and jumping off","Climb,rappell,jump off"
5.0,0050,Activities involving dancing,Dancing
5.1,0051,Activities involving yoga,Yoga
5.2,0052,Activities involving gymnastics,Gymnastics
5.3,0053,Activities involving trampoline,Trampoline
5.4,0054,Activities involving cheerleading,Cheerleading
5.9,0059,Other activity involving dancing and other rhythmic movements,"Dancing,rhythm movements"
6.0,0060,Activities involving roller skating (inline) and skateboarding,"Roller skate,skateboard"
6.1,0061,Activities involving horseback riding,Horseback riding
6.2,0062,Activities involving golf,Golf
6.3,0063,Activities involving bowling,Bowling
6.4,0064,Activities involving bike riding,Bike riding
6.5,0065,Activities involving jumping rope,Jumping rope
6.6,0066,Activities involving non-running track and field events,Non-running track/field
6.9,0069,Other activity involving other sports and athletics played individually,"Individ sports,athletics"
7.0,0070,Activities involving american tackle football,Tackle football
7.1,0071,Activities involving american flag or touch football,Amer flag/touch football
7.2,0072,Activities involving rugby,Rugby
7.3,0073,Activities involving baseball,Baseball
7.4,0074,Activities involving lacrosse and field hockey,"Lacrosse,field hockey"
7.5,0075,Activities involving soccer,Soccer
7.6,0076,Activities involving basketball,Basketball
7.7,0077,Activities involving volleyball (beach) (court),"Volleyball (beach,court)"
7.8,0078,"Activities involving physical games generally associated with school recess, summer camp and children","School recess,camp"
7.9,0079,Other activity involving other sports and athletes played as a team or group,"Team sports,athletes"
8.0,0080,Activities involving boxing,Boxing
8.1,0081,Activities involving wrestling,Wrestling
8.2,0082,Activities involving racquet and hand sports,Racquet/hand sports
8.3,0083,Activities involving frisbee,Frisbee
8.4,0084,Activities involving martial arts,Martial arts
8.9,0089,Other specified sports and athletics activity,"Sports,athletics NEC"
9.0,0090,Activity involving exercise machines primarily for cardiorespiratory conditioning,Exercise mach(cardiorsp)
9.1,0091,Activity involving calisthenics,Calisthenics
9.2,0092,Activity involving aerobic and step exercise,"Aerobic,step exercise"
9.3,0093,Activity involving circuit training,Circuit training
9.4,0094,Activity involving obstacle course,Obstacle course
9.5,0095,Activity involving grass drills,Grass drills
9.9,0099,Other activity involving cardiorespiratory exercise,Cardioresp exercise NEC
10.0,0100,Activity involving exercise machines primarily for muscle strengthening,Muscle strength mach
10.1,0101,"Activity involving push-ups, pull-ups, sit-ups","Push-ups,pull-ups,sit-up"
10.2,0102,Activity involving free weights,Free weights
10.3,0103,Activity involving pilates,Pilates
10.9,0109,Other activity involving other muscle strengthening exercises,Muscle strength exer NEC
11.0,0110,Activities involving computer keyboarding,Computer keyboarding
11.1,0111,Activities involving hand held interactive electronic device,Handheld interac elec dv
11.9,0119,Other activity involving computer technology and electronic devices,Computer tech NEC
12.0,0120,Activities involving knitting and crocheting,Knitting & crocheting
12.1,0121,Activities involving sewing,Sewing
12.2,0122,Activities involving furniture building and finishing,Furniture build/finish
12.9,0129,Activity involving other arts and handcrafts,Arts & handcrafts NEC
13.0,0130,Activities involving personal bathing and showering,Personal bathing/shower
13.1,0131,Activities involving laundry,Laundry
13.2,0132,Activities involving vacuuming,Vacuuming
13.3,0133,Activities involving ironing,Ironing
13.4,0134,Activities involving floor mopping and cleaning,Floor mopping/cleaning
13.5,0135,Activities involving residential relocation,Residential relocation
13.8,0138,Other personal hygiene activity,Personal hygiene NEC
13.9,0139,Other household maintenance,Househld maintenance NEC
14.0,0140,Caregiving involving bathing,Caregiving-bathing
14.1,0141,Caregiving involving lifting,Caregiving-lifting
14.9,0149,Other activity involving person providing caregiving,Caregiving NEC
15.0,0150,Activities involving food preparation and clean up,Food prep & cleanup
15.1,0151,Activities involving grilling and smoking food,Grilling & smoking food
15.2,0152,Activities involving cooking and baking,Cooking & baking
15.9,0159,Other activity involving cooking and grilling,Cooking & grilling NEC
16.0,0160,"Activities involving digging, shoveling and raking","Digging,shovel,rake"
16.1,0161,Activities involving gardening and landscaping,Gardening/landscaping
16.2,0162,Activities involving building and construction,Building & construction
16.9,0169,"Other activity involving property and land maintenance, building and construction",Land maintain/cnstrt NEC
17.0,0170,Roller coaster riding,Roller coaster riding
17.9,0179,Other activity involving external motion,External motion NEC
18.0,0180,Activities involving piano playing,Piano playing
18.1,0181,Activities involving drum and other percussion instrument playing,Drum/percussion playing
18.2,0182,Activities involving string instrument playing,String instrument play
18.3,0183,Activities involving winds and brass instrument playing,Winds/brass instru play
19.0,0190,Activities involving walking an animal,Walking an animal
19.1,0191,Activities involving milking an animal,Milking an animal
19.2,0192,Activities involving grooming and shearing an animal,Groom/shearing animal
19.9,0199,Other activity involving animal care,Animal care NEC
29.0,0290,Refereeing a sports activity,Refereeing sports
29.1,0291,Spectator at an event,Spectator at event
29.2,0292,Rough housing and horseplay,Rough housing/horseplay
29.9,0299,Other activity,Activity NEC
30.0,0300,Unspecified activity,Activity NOS
800.0,8000,Railway accident involving collision with rolling stock and injuring railway employee,RR collision NOS-employ
800.1,8001,Railway accident involving collision with rolling stock and injuring passenger on railway,RR coll NOS-passenger
800.2,8002,Railway accident involving collision with rolling stock and injuring pedestrian,RR coll NOS-pedestrian
800.3,8003,Railway accident involving collision with rolling stock and injuring pedal cyclist,RR coll NOS-ped cyclist
800.8,8008,Railway accident involving collision with rolling stock and injuring other specified person,RR coll NOS-person NEC
800.9,8009,Railway accident involving collision with rolling stock and injuring unspecified person,RR coll NOS-person NOS
801.0,8010,Railway accident involving collision with other object and injuring railway employee,RR coll w oth obj-employ
